Event_ID	JuncType	geneSymbol	GeneID	Event_Group	Gene_Event_ID	sample	read_count	max_count	sum_count	DSE_Category
Event_104	JCEC	CAMK2D	ENSG00000145349	Alternative 5' Splice Site	1	Control	99	99	182	Common to shRING1A.B and shRYBP
Event_104	JC	CAMK2D	ENSG00000145349	Alternative 5' Splice Site	1	shRYBP	84	84	143	Common to shRING1A.B and shRYBP
Event_104	JCEC	CAMK2D	ENSG00000145349	Alternative 5' Splice Site	1	shRYBP	84	84	143	Common to shRING1A.B and shRYBP
Event_104	JC	CAMK2D	ENSG00000145349	Alternative 5' Splice Site	1	shRING1A.B	104	104	199	Common to shRING1A.B and shRYBP
Event_104	JCEC	CAMK2D	ENSG00000145349	Alternative 5' Splice Site	1	shRING1A.B	104	104	199	Common to shRING1A.B and shRYBP
Event_1040	JC	AC068152.1	ENSG00000262879	Mutually Exclusive Exon	1	shRYBP	40	40	78	
Event_1040	JCEC	AC068152.1	ENSG00000262879	Mutually Exclusive Exon	1	shRYBP	40	40	78	
Event_1040	JC	AC068152.1	ENSG00000262879	Mutually Exclusive Exon	1	shRING1A.B	59	59	147	
Event_1040	JCEC	AC068152.1	ENSG00000262879	Mutually Exclusive Exon	1	shRING1A.B	59	59	147	
Event_1042	JC	ELMO3	ENSG00000102890	Mutually Exclusive Exon	1	shRYBP	14	29	43	
Event_1042	JC	ELMO3	ENSG00000102890	Mutually Exclusive Exon	1	shRING1A.B	5	49	54	
Event_1043	JC	MGRN1	ENSG00000102858	Mutually Exclusive Exon	1	shRYBP	719	719	1951	
Event_1043	JCEC	MGRN1	ENSG00000102858	Mutually Exclusive Exon	1	shRYBP	719	719	1951	
Event_1043	JC	MGRN1	ENSG00000102858	Mutually Exclusive Exon	1	shRING1A.B	1135	1135	1886	
Event_1043	JCEC	MGRN1	ENSG00000102858	Mutually Exclusive Exon	1	shRING1A.B	1135	1135	1886	
Event_1044	JC	IL32	ENSG00000008517	Mutually Exclusive Exon	1	shRYBP	557	557	886	
Event_1044	JCEC	IL32	ENSG00000008517	Mutually Exclusive Exon	1	shRYBP	557	557	1203	
Event_1044	JC	IL32	ENSG00000008517	Mutually Exclusive Exon	1	shRING1A.B	1258	1258	1258	
Event_1044	JCEC	IL32	ENSG00000008517	Mutually Exclusive Exon	1	shRING1A.B	1258	1258	1258	
Event_1045	JC	METTL26	ENSG00000130731	Mutually Exclusive Exon	1	shRYBP	383	1024	4257	
Event_1045	JC	METTL26	ENSG00000130731	Mutually Exclusive Exon	1	shRING1A.B	546	1604	5136	
Event_1046	JC	MEF2A	ENSG00000068305	Mutually Exclusive Exon	1	shRYBP	140	140	161	
Event_1046	JCEC	MEF2A	ENSG00000068305	Mutually Exclusive Exon	1	shRYBP	140	140	162	
Event_1046	JC	MEF2A	ENSG00000068305	Mutually Exclusive Exon	1	shRING1A.B	185	185	345	
Event_1046	JCEC	MEF2A	ENSG00000068305	Mutually Exclusive Exon	1	shRING1A.B	185	185	353	
Event_1047	JC	ANXA2	ENSG00000182718	Mutually Exclusive Exon	1	shRYBP	108	306	835	
Event_1047	JC	ANXA2	ENSG00000182718	Mutually Exclusive Exon	1	shRING1A.B	95	330	820	
Event_1048	JC	ZNF561	ENSG00000171469	Mutually Exclusive Exon	1	shRYBP	101	126	512	
Event_1048	JCEC	ZNF561	ENSG00000171469	Mutually Exclusive Exon	1	shRYBP	101	130	540	
Event_1048	JC	ZNF561	ENSG00000171469	Mutually Exclusive Exon	1	shRING1A.B	97	137	415	
Event_1048	JCEC	ZNF561	ENSG00000171469	Mutually Exclusive Exon	1	shRING1A.B	97	137	415	
Event_1049	JC	SPATA17	ENSG00000162814	Mutually Exclusive Exon	1	shRYBP	13	13	22	
Event_1049	JCEC	SPATA17	ENSG00000162814	Mutually Exclusive Exon	1	shRYBP	13	13	22	
Event_1049	JC	SPATA17	ENSG00000162814	Mutually Exclusive Exon	1	shRING1A.B	28	36	64	
Event_1049	JCEC	SPATA17	ENSG00000162814	Mutually Exclusive Exon	1	shRING1A.B	28	36	64	
Event_105	JC	ALS2CL	ENSG00000178038	Alternative 5' Splice Site	1	Control	9	24	58	Unique to shRYBP vs Control
Event_105	JC	ALS2CL	ENSG00000178038	Alternative 5' Splice Site	1	shRYBP	43	43	95	Unique to shRYBP vs Control
Event_1050	JC	TMEM14B	ENSG00000137210	Mutually Exclusive Exon	1	shRYBP	167	172	516	
Event_1050	JCEC	TMEM14B	ENSG00000137210	Mutually Exclusive Exon	1	shRYBP	167	172	516	
Event_1050	JC	TMEM14B	ENSG00000137210	Mutually Exclusive Exon	1	shRING1A.B	136	137	376	
Event_1050	JCEC	TMEM14B	ENSG00000137210	Mutually Exclusive Exon	1	shRING1A.B	136	137	376	
Event_1051	JC	CDKL3	ENSG00000006837	Mutually Exclusive Exon	1	shRYBP	26	26	84	
Event_1051	JC	CDKL3	ENSG00000006837	Mutually Exclusive Exon	1	shRING1A.B	19	25	87	
Event_1052	JC	SKP1	ENSG00000113558	Mutually Exclusive Exon	1	shRYBP	19	53	72	
Event_1052	JCEC	SKP1	ENSG00000113558	Mutually Exclusive Exon	1	shRYBP	19	53	72	
Event_1052	JC	SKP1	ENSG00000113558	Mutually Exclusive Exon	1	shRING1A.B	28	46	74	
Event_1052	JCEC	SKP1	ENSG00000113558	Mutually Exclusive Exon	1	shRING1A.B	28	46	74	
Event_1053	JC	ATP6AP1L	ENSG00000205464	Mutually Exclusive Exon	1	shRYBP	6	34	40	
Event_1053	JCEC	ATP6AP1L	ENSG00000205464	Mutually Exclusive Exon	1	shRYBP	6	42	48	
Event_1053	JC	ATP6AP1L	ENSG00000205464	Mutually Exclusive Exon	1	shRING1A.B	21	21	21	
Event_1053	JCEC	ATP6AP1L	ENSG00000205464	Mutually Exclusive Exon	1	shRING1A.B	21	43	64	
Event_1054	JC	DNAAF4	ENSG00000256061	Mutually Exclusive Exon	1	shRYBP	42	42	42	
Event_1054	JC	DNAAF4	ENSG00000256061	Mutually Exclusive Exon	1	shRING1A.B	68	68	68	
Event_1055	JC	SRGAP1	ENSG00000196935	Mutually Exclusive Exon	1	shRYBP	157	157	157	
Event_1055	JCEC	SRGAP1	ENSG00000196935	Mutually Exclusive Exon	1	shRYBP	157	157	157	
Event_1055	JC	SRGAP1	ENSG00000196935	Mutually Exclusive Exon	1	shRING1A.B	180	180	180	
Event_1055	JCEC	SRGAP1	ENSG00000196935	Mutually Exclusive Exon	1	shRING1A.B	180	180	180	
Event_1056	JC	TSPAN4	ENSG00000214063	Mutually Exclusive Exon	1	shRYBP	909	909	909	
Event_1056	JC	TSPAN4	ENSG00000214063	Mutually Exclusive Exon	1	shRING1A.B	1374	1374	1374	
Event_1057	JC	MFSD8	ENSG00000164073	Mutually Exclusive Exon	1	shRYBP	71	71	111	
Event_1057	JCEC	MFSD8	ENSG00000164073	Mutually Exclusive Exon	1	shRYBP	71	71	111	
Event_1057	JC	MFSD8	ENSG00000164073	Mutually Exclusive Exon	1	shRING1A.B	51	103	154	
Event_1057	JCEC	MFSD8	ENSG00000164073	Mutually Exclusive Exon	1	shRING1A.B	51	103	154	
