Event_ID	Event_Group	condition	IncLevel	geneSymbol	sample	IncLevel_transformed	fitted	residuals_zscore
Event_1021	Mutually Exclusive Exon	Control	0	TRMT2B	Control_Sample_2	1e-05	0.507343623783783	-1.70538121520125
Event_1021	Mutually Exclusive Exon	Control	0	TRMT2B	Control_Sample_3	1e-05	0.507343623783783	-1.70538121520125
Event_1021	Mutually Exclusive Exon	shRING1A.B	0.219	TRMT2B	shRING1A.B_Sample_1	0.219	0.562134206975466	-0.425930797535209
Event_1021	Mutually Exclusive Exon	shRING1A.B	0.204	TRMT2B	shRING1A.B_Sample_2	0.204	0.562134206975466	-0.443976649788077
Event_1021	Mutually Exclusive Exon	shRING1A.B	0	TRMT2B	shRING1A.B_Sample_3	1e-05	0.562134206975466	-1.88131363885653
Event_1022	Mutually Exclusive Exon	Control	0.824	ENOX2	Control_Sample_1	0.824	0.37132023202079	0.671425335917856
Event_1022	Mutually Exclusive Exon	Control	0.664	ENOX2	Control_Sample_2	0.664	0.37132023202079	0.490341915725139
Event_1022	Mutually Exclusive Exon	Control	0.931	ENOX2	Control_Sample_3	0.931	0.37132023202079	0.880772196331382
Event_1022	Mutually Exclusive Exon	shRING1A.B	1	ENOX2	shRING1A.B_Sample_1	0.99999	0.424065600429285	1.97926432090205
Event_1022	Mutually Exclusive Exon	shRING1A.B	0.951	ENOX2	shRING1A.B_Sample_2	0.951	0.424065600429286	0.805165789891388
Event_1022	Mutually Exclusive Exon	shRING1A.B	1	ENOX2	shRING1A.B_Sample_3	0.99999	0.424065600429285	1.97926432090205
Event_1023	Mutually Exclusive Exon	Control	0.765	COL13A1	Control_Sample_1	0.765	0.778394749860073	-0.430595414773757
Event_1023	Mutually Exclusive Exon	Control	0.796	COL13A1	Control_Sample_2	0.796	0.778394749860073	-0.363957943990343
Event_1023	Mutually Exclusive Exon	Control	0.661	COL13A1	Control_Sample_3	0.661	0.778394749860073	-0.62838780402642
Event_1023	Mutually Exclusive Exon	shRING1A.B	1	COL13A1	shRING1A.B_Sample_1	0.99999	0.814086891543615	1.40978396779503
Event_1023	Mutually Exclusive Exon	shRING1A.B	1	COL13A1	shRING1A.B_Sample_2	0.99999	0.814086891543615	1.40978396779503
Event_1023	Mutually Exclusive Exon	shRING1A.B	1	COL13A1	shRING1A.B_Sample_3	0.99999	0.814086891543615	1.40978396779503
Event_1024	Mutually Exclusive Exon	Control	0.183	ZNF320	Control_Sample_1	0.183	0.504645942098262	-0.365588186535675
Event_1024	Mutually Exclusive Exon	Control	0	ZNF320	Control_Sample_2	1e-05	0.504645942098262	-1.90871803384601
Event_1024	Mutually Exclusive Exon	Control	0	ZNF320	Control_Sample_3	1e-05	0.504645942098262	-1.90871803384601
Event_1024	Mutually Exclusive Exon	shRING1A.B	0.729	ZNF320	shRING1A.B_Sample_1	0.729	0.559476039617497	0.0760698849521384
Event_1024	Mutually Exclusive Exon	shRING1A.B	0.418	ZNF320	shRING1A.B_Sample_2	0.418	0.559476039617497	-0.238631730552414
Event_1024	Mutually Exclusive Exon	shRING1A.B	0.285	ZNF320	shRING1A.B_Sample_3	0.285	0.559476039617497	-0.379242549237157
Event_1025	Mutually Exclusive Exon	Control	1	EIF3E	Control_Sample_1	0.99999	0.856405468318981	1.17244954248414
Event_1025	Mutually Exclusive Exon	Control	1	EIF3E	Control_Sample_2	0.99999	0.856405468318981	1.17244954248414
Event_1025	Mutually Exclusive Exon	Control	1	EIF3E	Control_Sample_3	0.99999	0.856405468318981	1.17244954248414
Event_1025	Mutually Exclusive Exon	shRYBP	1	EIF3E	shRYBP_Sample_1	0.99999	0.899955906377279	0.734801912568769
Event_1025	Mutually Exclusive Exon	shRYBP	0.888	EIF3E	shRYBP_Sample_2	0.888	0.899955906377279	-0.750340909728368
